"Название предмета";"Сезонность ниши";"Дата обнаружения";"Комиссия FBO";"Комиссия FBS";"Товары, шт.";"Количество новинок";"Товары с остатками, шт.";"% товаров с остатками";"Товары с движением, шт.";"% товаров с движением";"Товары с продажами, шт.";"% товаров с продажами";"% товаров с продажами от товаров с движением";"Бренды";"Бренды с продажами";"% брендов с продажами";"Продавцы";"Продавцы с продажами";"% продавцов с продажами";"Продажи, шт.";"Выручка, ₽";"Упущенная выручка, ₽";"Упущенная выручка %";"Потенциал, ₽";"Средний % выкупа";"Средний % выкупа с учётом возвратов";"Сумма выкупа, ₽";"Сумма выкупа с учётом возвратов, ₽";"Суммарные остатки, шт.";"Замороженный остаток, шт.";"Замороженный остаток в цене, ₽";"Замороженный остаток, %";"Оборачиваемость, дн.";"Минимальная цена, ₽";"Максимальная цена, ₽";"Средняя цена, ₽";"Медианная цена, ₽";"Минимальная цена с продажами, ₽";"Максимальная цена с продажами, ₽";"Средняя цена с продажами, ₽";"Медианная цена с продажами, ₽";"Средний рейтинг";"Средний рейтинг с продажами";"Средний дробный рейтинг";"Средний дробный рейтинг с продажами";"Количество кликов на карточку";"% добавления в корзину";"% оформления заказов"
"Одежда / Платья";"2";"2020-01-25";"34,5";"38";"1311715";"45544";"283228";"21,59";"334024";"25,46";"230294";"17,56";"68,95";"54581";"15211";"27,87";"86334";"16340";"18,93";"9488005";"22723463566";"3662225788";"13,88";"26385689354";"33,36";"29,26";"7580547446";"6648885439";"13390026";"7734557";"19876504484";"57,76";"42";"0";"8500000";"3061,08";"1756,5";"15";"202545";"2745,24";"2067,5";"4,65";"4,8";"4,54";"4,64";"110";"3,33";"13,67"
"Одежда / Джинсы";"2";"2020-01-25";"34,5";"38";"367577";"19977";"86360";"23,49";"105726";"28,76";"82055";"22,32";"77,61";"16815";"5328";"31,69";"25140";"5568";"22,15";"7285372";"18538673470";"2071052967";"10,05";"20609726437";"28,44";"24,35";"5272398735";"4514166990";"7812341";"3594493";"10979232155";"46,01";"32";"0";"6256602";"3113,04";"1989,5";"212";"189189";"2898,95";"2355";"4,72";"4,83";"4,59";"4,67";"120";"5,3";"22,28"
"Одежда / Костюмы";"2";"2020-01-25";"34,5";"38";"669860";"18105";"164855";"24,61";"194630";"29,06";"142942";"21,34";"73,44";"43859";"11971";"27,29";"54604";"13561";"24,84";"5911971";"18153463381";"2989132340";"14,14";"21142595721";"45,26";"41,61";"8216257526";"7553656113";"8760798";"5182387";"15024023603";"59,15";"44";"0";"5852000";"3448,61";"2116";"7";"339806";"3517,08";"2659,5";"4,67";"4,83";"4,56";"4,68";"132";"3,55";"11,94"
"Одежда / Брюки";"1";"2020-01-25";"34,5";"38";"798476";"31668";"254098";"31,82";"284895";"35,68";"156001";"19,54";"54,76";"37124";"11829";"31,86";"44889";"12693";"28,28";"8841381";"17479084397";"1873341055";"9,68";"19352425452";"37,19";"33,15";"6500471487";"5794316478";"13063264";"7348526";"15303112520";"56,25";"44";"0";"8019000";"2612,49";"1620";"22";"207900";"2358,24";"1669";"4,73";"4,84";"4,61";"4,69";"74";"5,09";"18,74"
"Одежда / Куртки";"2";"2020-01-25";"34,5";"38";"701101";"29708";"132697";"18,93";"163248";"23,28";"106900";"15,25";"65,48";"24880";"6535";"26,27";"35806";"7169";"20,02";"3287626";"15459348272";"4510521540";"22,59";"19969869812";"28,61";"25,29";"4422919541";"3909669178";"3890049";"2126485";"11613087172";"54,66";"35";"0";"8019000";"5695,34";"3692";"222";"1000000";"5757,62";"4245";"4,71";"4,83";"4,6";"4,69";"93";"3,48";"13,51"
"Обувь / Кроссовки";"2";"2020-01-25";"34,5";"38";"1909363";"141075";"193311";"10,12";"226613";"11,87";"162743";"8,52";"71,82";"15705";"4703";"29,95";"22565";"5665";"25,11";"4636059";"10761284007";"1344517135";"11,11";"12105801142";"42,83";"40,43";"4609057940";"4350787124";"16478451";"12280850";"30839634008";"74,53";"107";"0";"1428643";"5840,25";"5152";"151";"185654";"3054,46";"2379,5";"4,67";"4,8";"4,55";"4,65";"46";"4";"13,57"
"Обувь / Ботинки";"3";"2020-01-25";"34,5";"38";"605537";"32170";"126881";"20,95";"148167";"24,47";"103176";"17,04";"69,63";"10392";"3678";"35,39";"17354";"3794";"21,86";"3398731";"9821033815";"1108073344";"10,14";"10929107159";"36,35";"33,35";"3569945792";"3275314777";"6164439";"3678634";"10976624649";"59,68";"54";"0";"13167000";"5113,16";"3558";"222";"138663";"3899,54";"3019";"4,67";"4,8";"4,56";"4,65";"56";"3,76";"16,06"
"Спортивная одежда / Костюмы спортивные";"1";"2020-01-25";"34,5";"38";"377800";"16275";"73381";"19,42";"85935";"22,75";"63128";"16,71";"73,46";"26119";"5334";"20,42";"30516";"6341";"20,78";"2798892";"8975112497";"1228568781";"12,04";"10203681278";"46,19";"42,89";"4145604462";"3849425750";"3728726";"1982453";"5790975810";"53,17";"40";"0";"6771600";"3313,21";"1997";"75";"343035";"3760,33";"2786";"4,67";"4,83";"4,56";"4,68";"127";"4,09";"15"
"Одежда / Футболки";"2";"2020-01-25";"34,5";"38";"6442612";"604944";"712010";"11,05";"787066";"12,22";"316091";"4,91";"40,16";"42338";"11450";"27,04";"46282";"11741";"25,37";"9671333";"7127326195";"1135360339";"13,74";"8262686534";"63,44";"61,11";"4521575738";"4355509038";"21157763";"13178786";"11918457492";"62,29";"66";"0";"8019000";"1347,06";"1162";"31";"2700000";"1038,42";"881,5";"4,81";"4,88";"4,73";"4,78";"41";"5,06";"14,09"
"Одежда / Юбки";"1";"2020-01-25";"34,5";"38";"300849";"13175";"81462";"27,08";"94278";"31,34";"67659";"22,49";"71,77";"24455";"7713";"31,54";"33976";"8331";"24,52";"3410557";"6240101746";"723963280";"10,4";"6964065026";"33,42";"29,05";"2085442004";"1812749557";"5004967";"2781941";"5832538384";"55,58";"44";"0";"7724695";"2334,55";"1326";"81";"195170";"2110,66";"1612";"4,74";"4,86";"4,61";"4,7";"79";"4,69";"16,86"
