Ниша;Контур;Причина таксономии;Риск вариантов;Риск таксономии;Вердикт воронки;Выручка 30 дней, ₽;Продажи 30 дней, шт;Средний чек, ₽;Активные продавцы;Выручка на активного продавца, ₽;Доля штук Q2/Q1, x;Доля выручки Q2/Q1, x;Положительных шагов, штуки;Положительных шагов, выручка;Entry lift Sep-Oct / Jul-Aug 2025, x;Осенний индекс 2025, x;FBO доля выручки, %;Комиссия FBO MPStats, %;Комиссия FBS MPStats, %;Выкуп после возвратов, %;Оборот, дней;Замороженный остаток, %;Карточек с продажами, %;Продавцов с продажами, %;Demand gate;Autumn gate;Operations gate;Аномалии
Красота / Гидрофильные плитки;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;308548.0;915.0;337.21;45;6856.62;2.6298;1.3482;3;2;3.2359;0.6318;3.65;32.5;36.0;16.33;404.0;94.55;36.2;13.67;0;1;0;
Красота / Автозагар;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;133753258.0;168102.0;795.67;613;218194.55;2.5282;1.8815;5;4;0.4704;0.5361;82.83;32.5;36.0;82.48;90.0;73.64;15.49;21.36;1;0;0;
Красота / Средства для разбавления лака;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;19090599.0;6549.0;2915.04;87;219432.17;2.2048;5.6413;3;3;0.5403;0.8925;0.67;27.5;31.0;98.36;52.0;81.65;36.49;28.69;0;0;0;JAN_JUN_REVENUE_SWING_GT_10X
Красота / Наборы для солярия;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;2475519.0;1132.0;2186.85;54;45842.94;2.0795;2.2801;5;4;1.1189;0.6142;64.55;32.5;36.0;100.0;9952.0;99.76;3.9;11.2;0;1;0;
Красота / Нейтрализаторы испарений клея;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;4175609.0;6468.0;645.58;24;173983.71;2.0546;2.2136;3;3;1.4283;0.6453;97.18;32.5;36.0;91.79;153.0;72.81;35.77;22.22;0;1;0;
Красота / Мелки для волос;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;5034139.0;5809.0;866.61;176;28603.06;1.5411;1.1218;4;4;0.4144;0.8134;79.98;32.5;36.0;90.06;148.0;93.19;6.14;16.14;0;0;0;
Красота / Смеси для массажа;COSMETIC_PRO_P2;"topical massage preparation; product-level formula verification required";low;high;NO_CURRENT_SIGNAL;14746018.0;12987.0;1135.44;236;62483.13;1.4411;1.406;3;3;1.0662;0.5325;63.03;32.5;36.0;93.91;1191.0;97.36;15.08;14.24;0;1;0;
Красота / CC-кремы;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;120752419.0;55585.0;2172.39;541;223202.25;1.3683;1.8364;2;2;1.2271;0.6658;24.06;32.5;36.0;87.9;189.0;89.68;31.37;20.03;0;1;0;
Красота / DD-кремы;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;4194623.0;2196.0;1910.12;153;27415.84;1.2484;1.2181;3;3;2.4018;0.942;14.64;32.5;36.0;100.0;461.0;96.72;12.97;13.56;0;1;0;
Красота / Гидролаты;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;32958166.0;53648.0;614.34;349;94436.01;1.2405;1.2401;4;2;1.2698;0.7243;55.81;32.5;36.0;94.63;132.0;82.4;14.14;22.3;0;1;0;
